country,chemical and petrochemical,construction,food and tobacco,iron and steel,machinery,mining and quarrying,non-ferrous metals,non-metallic minerals,paper pulp and print,textile and leather,transport equipment,wood and wood products,other
GL,0.0006928058539176,0.0136977840379044,0.024497737216428,0.0177824017660205,0.0005181433353582,-0.0603202609855793,-8.534297845858019e-05,0.000407731216368,-0.07,0.0272815482734705,-8.534297845858019e-05,0.0004964491761068,0.0135766450735707
GD,-0.0001358665714937,0.0249022087808808,-0.0001788009768452,-9.572032839665762e-05,-0.0002253890683165,-0.0001698332143671,-8.81801040882868e-05,-0.0001528535782287,-0.0001698332143671,-0.0001698332143671,-8.81801040882868e-05,-4.40900520441434e-05,0.0249022087808808
GP,-0.0003759994882036,0.0069592487809409,0.0001585010722737,-0.0007099940778048,0.000369898942401,-6.395318525129201e-06,-8.943816199902255e-05,0.0001016410958949,-6.395318525129201e-06,-6.395318525129201e-06,-8.943816199902255e-05,0.0003838972967525,0.0094530307828259
GU,-0.0085031789404717,-0.0045166098795088,-0.00513213691362,-0.008300772871735,-0.0076542715169605,-0.0076543729128604,-8.252764938077028e-05,-0.0038696085141287,-0.0076543729128604,-0.0076543729128604,-8.252764938077028e-05,-0.0152283893417097,-0.0017664544896785
GT,-0.0009801707863725,0.0417848816562649,-0.0053993715832094,-0.0007841389113149,-0.0002117906162645,-0.0011082143952535,-0.0005862789080696,-0.0075869176338759,-0.0011082143952535,-0.0011082143952535,-0.0005862789080696,-0.0005550613699768,0.0422243267967763
GG,-0.000506581036638,-0.0003055800467509,-0.000391337416747,-0.0004173642935937,-0.000546368878906,-0.0005428322159371,-8.566627249539938e-05,-0.0003140424692106,-0.0005428322159371,-0.0005428322159371,-8.566627249539938e-05,-0.0010012833055293,-0.0001167810828056
GN,0.0023086061101454,0.063046115364265,1.1741876248703525e-05,0.0042623428863161,0.0001973650248337,5.6931415589989154e-05,-8.832144482345816e-05,-1.3359156646568228e-05,5.6931415589989154e-05,5.6931415589989154e-05,-8.832144482345816e-05,0.0002600257903725,0.063046115364265
GW,-0.0007760847014886,0.07,0.0002456509003909,-0.000440106298218,0.0021818306654769,-0.0010261864225144,-6.522871636427396e-05,0.0001652077998066,-0.0010261864225144,-0.0010261864225144,-6.522871636432948e-05,0.0004213408297537,0.07
GY,0.0027299657565063,-0.0136343047181105,0.0068228134398461,0.0037136586470654,0.0029115742318043,0.0030242765712608,0.0097458021953704,0.0092130401372778,0.0030242765712608,0.0030242765712608,0.0097458021953704,0.0046494792827601,-0.0134032372547268
HT,-0.0082099894539024,0.0071215613420195,-0.0116108539506853,-0.006603806750975,-0.010262486817378,-0.010262486817378,-0.0116111894744588,-0.0139730220841767,-0.010262486817378,-0.010262486817378,-0.0116111894744588,-0.0208763668362212,0.0142990672171342
HN,-0.0004426266488699,0.0180375193425908,-0.0001657280585355,-0.0048397574545581,-0.0004668925809388,-0.07,-6.50444056158328e-05,-0.0001419971049263,-0.0004195640729118,-0.0004195640729118,-6.50444056158328e-05,-3.2195987265226655e-05,0.0183357426998148
HU,-0.0100712786747623,0.0034788277443055,0.0168291939532782,-0.0346035754626367,0.0195272297364975,-0.0357278181105805,-0.0064562091900813,0.0126220357242307,-0.0241913089365798,-0.0108912634012282,0.0002941312956654,0.0430329162072524,0.0085527901602668
IS,0.069883998483057,0.0133925476595741,0.0153967896619118,0.0026294606828278,0.0146207295855084,0.07,0.0097468774492148,0.0698632169492649,-0.0598522334844167,-0.0552815058190045,0.0097468774492148,0.0099573943804854,0.0027091070211384
IN,-0.0168015946716704,0.0449689679907043,0.07,0.0339589544866522,0.0682648004111606,0.0529868305218159,5.555240467380873e-05,-0.0264376840333916,-0.0174671209755829,-0.07,-0.07,-0.0349722237976631,0.0563878850605457
ID,0.063004264584687,0.0587554044595504,-0.0228669180579551,0.0443927469164487,-0.0170386469052066,-0.0347209207113852,0.0007705041709422,-0.0258162251980631,0.0002877639859697,-0.0347209207113852,0.0007705041709422,0.0005581585772295,0.0394133997976568
IR,0.0416154611559387,0.0487755133206219,-0.0001185695760357,0.07,-0.0005871804304408,-0.0008912903865865,0.0001460801392446,-5.174510122360476e-05,-0.0008912903865865,-0.0008912903865865,0.0001460801392446,-0.0001866688081899,0.0515016762270012
IQ,0.000177548404076,0.0192955134395712,-1.2477929767403436e-05,0.0003230393690919,0.0,0.0,0.0,-3.265475651734878e-05,0.0,0.0,0.0,0.0,0.019295513439571
IE,0.0294453389852345,0.0231997039070937,0.0341041376953632,-0.0017086686689348,0.0455874767512842,0.0093200301752864,0.019054603851229,0.0335541803094841,-8.657088338586705e-05,-0.045187646682633,0.0010777347483144,0.0030035275420225,0.0223645621805296
IM,-0.001357203264755,-0.0171401252874854,-0.0011623859610205,-0.0008514932773909,-0.0016992654188818,-0.0017040642518971,0.0001798259026284,-0.0008933836767727,-0.0017040642518971,-0.0017040642518971,0.0001798259026284,-0.0033325115670357,-0.0103662315407615
IL,-0.0064297022292163,-0.000659536220945,-0.0012584314500986,-0.0011706928149781,-0.0012487774304681,-0.001260449424501,0.0007421624107364,-0.0008102494021546,-0.001428911542643,-0.001174594395825,0.0007421624107364,-0.0012026676827163,-0.0006560140179567
IT,-0.0250201873653439,-0.0024179638158372,0.0084063359650429,0.0036758961870307,-0.0260573784935117,0.0505441693867477,0.0066827854286704,0.0013805693470692,0.0534691183356291,-0.0128043694449877,0.07,-0.0049859046477452,0.0087617753646
JM,-0.0005216460769439,-0.0391196726835635,0.0681949804661863,-1.2692170112078849e-05,-0.0007427729233794,0.0218749894122646,-0.0030643002605356,0.0125865066164529,-0.0009756368403817,-0.0009756368403817,-0.0030643002605356,-0.0016401689947881,-0.0390231217565701
JP,5.772975744541797e-05,-0.007031784873699,0.007940750846147,-0.0173233802657485,-0.0068738833530679,-0.0159392145242938,0.0127753879635816,-0.0114369543354778,-0.0073809924462551,-0.0006959876533412,-0.0040728232354645,-0.000447616674736,-0.0041364302470415
JE,-0.0009583296564255,-0.0248380503288051,-0.0007882205380999,-0.0006941499276977,-0.0011423247055653,-0.0011117235570497,-6.8689091268892e-05,-0.0006093084030776,-0.0011117235570497,-0.0011117235570497,-6.8689091268892e-05,-0.0023150698233363,-0.0205998771083175
JO,0.0246084186553212,0.0110258717835144,-0.0063771142355263,-0.009025661116675,-0.0087249312995196,0.07,-0.0347862310100673,-0.0674256101599025,-0.0094372662934792,-0.0094372662934792,-0.0347862310100673,-0.0173931155050336,0.0105245896847936
