year,market,fuel_type,price_eur_mwh
1989,Forcados,oil,21.205582031333947
1990,Forcados,oil,26.220054393729868
1991,Forcados,oil,21.215621344621614
1992,Forcados,oil,20.083560789203805
1993,Forcados,oil,17.31217830942386
1994,Forcados,oil,15.75527377459861
1995,Forcados,oil,16.27333695005313
1996,Forcados,oil,19.378203497788526
1997,Forcados,oil,17.305239324700803
1998,Forcados,oil,11.13362369872028
1999,Forcados,oil,15.507274795327856
2000,Forcados,oil,23.722721212055557
2001,Forcados,oil,19.658738487034114
2002,Forcados,oil,19.99972175920765
2003,Forcados,oil,22.396601178924197
2004,Forcados,oil,29.003849295458224
2005,Forcados,oil,40.97281163413956
2006,Forcados,oil,47.80337625996249
2007,Forcados,oil,51.61467262530887
2008,Forcados,oil,67.69196741751271
2009,Forcados,oil,42.42923567413497
2010,Forcados,oil,53.40793304294631
2011,Forcados,oil,72.59813640180744
2012,Forcados,oil,71.47668291988376
2013,Forcados,oil,68.49574450367614
2014,Forcados,oil,61.51488836994285
2015,Forcados,oil,32.98526834873575
2016,Forcados,oil,26.665338229951928
2017,Forcados,oil,31.836245669589864
2018,Forcados,oil,41.468682182734334
2019,Forcados,oil,36.504151612280666
2020,Forcados,oil,23.4898956251388
2021,Forcados,oil,36.991850147492016
2022,Forcados,oil,49.78549151044065
2023,Forcados,oil,39.42319018094652
2024,Forcados,oil,37.44633033160149
1976,WTI,oil,30.884102357850093
1977,WTI,oil,33.71690984887963
1978,WTI,oil,32.06536516555425
1979,WTI,oil,49.63770617568086
1980,WTI,oil,66.19417664383398
1981,WTI,oil,57.0326351311569
1982,WTI,oil,50.10470941076702
1983,WTI,oil,43.712342708609256
1984,WTI,oil,40.64478504010907
1985,WTI,oil,37.36424673926594
1986,WTI,oil,19.73089285772178
1987,WTI,oil,23.007803531995883
1988,WTI,oil,19.40943184491076
1989,WTI,oil,22.793103746248022
1990,WTI,oil,26.890672137133443
1991,WTI,oil,22.713691076564068
1992,WTI,oil,21.066743775314755
1993,WTI,oil,18.34633485404194
1994,WTI,oil,16.686046871436435
1995,WTI,oil,17.367025876012665
1996,WTI,oil,20.706104966209764
1997,WTI,oil,18.45116308753666
1998,WTI,oil,12.685102535596581
1999,WTI,oil,16.654364643925522
2000,WTI,oil,25.34150697186519
2001,WTI,oil,21.03801440234398
2002,WTI,oil,20.88629089469968
2003,WTI,oil,24.255175474804236
2004,WTI,oil,31.55965662912567
2005,WTI,oil,41.63496876236233
2006,WTI,oil,47.06925552717941
2007,WTI,oil,50.03463162657493
2008,WTI,oil,66.77766203092104
2009,WTI,oil,41.471480235871155
2010,WTI,oil,52.32066481936999
2011,WTI,oil,60.71031133856384
2012,WTI,oil,58.90990423998476
2013,WTI,oil,60.44032421355448
2014,WTI,oil,56.61676159001746
2015,WTI,oil,29.529726544144797
2016,WTI,oil,25.9469186997332
2017,WTI,oil,29.772839579423113
2018,WTI,oil,37.3086529365845
2019,WTI,oil,32.05283705078316
2020,WTI,oil,21.97423939595825
2021,WTI,oil,36.1115968326291
2022,WTI,oil,46.436999872361696
2023,WTI,oil,37.19738327120887
2024,WTI,oil,34.752942902245934
