fuel_type,country,market
oil,NZ,Dubai
oil,OM,Dubai
oil,PA,WTI
oil,PE,WTI
oil,PG,Dubai
oil,PH,Dubai
oil,PK,Dubai
oil,PL,Brent
oil,PR,WTI
oil,PS,Dubai
oil,PT,Brent
oil,PY,WTI
oil,QA,Dubai
oil,RO,Brent
oil,RS,Brent
oil,RU,Brent
oil,RW,Dubai
oil,SA,Dubai
oil,SB,Dubai
oil,SD,Dubai
oil,SE,Brent
oil,SG,Dubai
oil,SI,Brent
oil,SK,Brent
oil,SL,Forcados
oil,SN,Forcados
oil,SO,Dubai
oil,SR,WTI
oil,SS,Dubai
oil,SV,WTI
oil,SY,Dubai
oil,SZ,Forcados
oil,TD,Forcados
oil,TG,Forcados
oil,TH,Dubai
oil,TJ,Dubai
oil,TL,Dubai
oil,TM,Dubai
oil,TN,Brent
oil,TR,Brent
oil,TT,WTI
oil,TW,Dubai
oil,TZ,Dubai
oil,UA,Brent
oil,UG,Dubai
oil,US,WTI
oil,UY,WTI
oil,UZ,Dubai
oil,VE,WTI
oil,VN,Dubai
oil,XK,Brent
oil,YE,Dubai
oil,ZA,Forcados
oil,ZM,Forcados
oil,ZW,Forcados
