,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateOut,lat,lon,EIC,projectID
7291,Shaping Stage,Hydro,Reservoir,PP,CN,395.0987267765791,,,0.0,0.0,0.0,2018.0,2018.0,2118.0,29.238,103.2099,{nan},"{'GEM': {'G601144'}, 'GHPT': {'G601144'}}"
7292,Shaping,Hydro,Run-Of-River,PP,CN,183.92526936151097,,,0.0,0.0,0.0,2008.0,2008.0,2108.0,28.7588,101.6761,{nan},"{'GEM': {'G601142'}, 'GHPT': {'G601142'}}"
7293,Shanxiu,Hydro,Run-Of-River,PP,CN,88.55661117406083,,,0.0,0.0,0.0,2006.0,2006.0,2106.0,22.634,107.909,{nan},"{'GEM': {'G601139'}, 'GHPT': {'G601139'}}"
7294,Shanxi,Hydro,Reservoir,PP,CN,227.06823377964315,,,0.0,0.0,0.0,2001.0,2001.0,2101.0,27.6711,119.8781,{nan},"{'GEM': {'G601138'}, 'GHPT': {'G601138'}}"
7295,Pan An,Hydro,Pumped Storage,PP,CN,191.00476147150698,,,0.0,0.0,0.0,2028.0,2028.0,2128.0,29.0008,120.5689,{nan},"{'GEM': {'G601067'}, 'GHPT': {'G601067'}}"
7296,Pandaoshan,Hydro,Pumped Storage,PP,CN,222.83888838342483,,,0.0,0.0,0.0,2009.246935201401,2009.246935201401,2109.2469352014014,38.7969,100.4008,{nan},"{'GEM': {'G601068'}, 'GHPT': {'G601068'}}"
7297,Pangduo,Hydro,Reservoir,PP,CN,181.65458702371453,,,0.0,0.0,0.0,2013.0,2013.0,2113.0,30.1797,91.3499,{nan},"{'GEM': {'G601069'}, 'GHPT': {'G601069'}}"
7298,Panjiakou,Hydro,Pumped Storage,PP,CN,66.85166651502745,,,0.0,0.0,0.0,1981.0,1981.0,2081.0,40.3885,118.2807,"{nan, nan}","{'GEM': {'G601070'}, 'GHPT': {'G601070'}}"
7299,Pankou,Hydro,Reservoir,PP,CN,582.4300196447847,,,0.0,0.0,0.0,2012.0,2012.0,2112.0,32.2136,110.1529,{nan},"{'GEM': {'G601071'}, 'GHPT': {'G601071'}}"
7300,Pankou,Hydro,Pumped Storage,PP,CN,47.751190367876745,,,0.0,0.0,0.0,2026.0,2026.0,2126.0,32.2326,110.2104,{nan},"{'GEM': {'G601072'}, 'GHPT': {'G601072'}}"
7301,Panlong,Hydro,Pumped Storage,PP,CN,191.00476147150698,,,0.0,0.0,0.0,2023.0,2023.0,2123.0,28.885,106.455,"{nan, nan}","{'GEM': {'G601073', 'G604706'}, 'GHPT': {'G601073', 'G604706'}}"
7302,Paomaping,Hydro,Run-Of-River,PP,CN,136.2409402677859,,,0.0,0.0,0.0,2012.0,2012.0,2112.0,28.1833,101.3653,{nan},"{'GEM': {'G601075'}, 'GHPT': {'G601075'}}"
7303,Pengshui,Hydro,Reservoir,PP,CN,1986.8470455718777,,,0.0,0.0,0.0,2008.0,2008.0,2108.0,29.2014,108.199,{nan},"{'GEM': {'G601076'}, 'GHPT': {'G601076'}}"
7304,Pianqiao,Hydro,Run-Of-River,PP,CN,258.8577865087932,,,0.0,0.0,0.0,2008.0,2008.0,2108.0,28.6078,101.6981,{nan},"{'GEM': {'G601077'}, 'GHPT': {'G601077'}}"
7305,Pingban,Hydro,Reservoir,PP,CN,459.8131734037774,,,0.0,0.0,0.0,2005.0,2005.0,2105.0,24.8182,105.4888,{nan},"{'GEM': {'G601078'}, 'GHPT': {'G601078'}}"
